won,drawn,lost,gf,ga,gd,played,team_enc,points,team,season_end_year
-0.04937889403062904,-1.300549949740485,0.6886139083637709,-0.828349547324003,-0.044329414105305366,-0.4812867407757216,-0.33733233383160366,-0.0738385281703306,48,Leicester City,2001
-0.9209298651723351,1.7459437681447603,-0.05248494178699281,-0.49904874266473787,-0.5817492816232417,0.0,-0.33733233383160366,0.26638750034631375,42,Middlesbrough,2001
-0.746619670943994,0.7304458621830118,0.31806448328838904,-0.4331885817328848,-0.12110368089358199,-0.20053614198988398,-0.33733233383160366,1.4912012030062334,42,West Ham,2001
-0.5723094767156527,-0.2850520437787367,0.6886139083637709,-0.4331885817328848,0.5698647202009076,-0.5615011975716752,-0.33733233383160366,-0.48210976239030384,42,Everton,2001
-0.746619670943994,0.7304458621830118,0.31806448328838904,-0.9600698691877091,0.5698647202009076,-0.8823590247554896,-0.33733233383160366,-0.5501549680936327,42,Derby County,2001
-1.0952400594006764,0.053447258208512795,1.0591633334391528,-0.6966292254602969,1.0305103209305673,-0.9625734815514432,-0.33733233383160366,0.13029708893965603,34,Manchester City,2001
-1.0952400594006764,0.053447258208512795,1.0591633334391528,-1.0259300301195622,0.8769617873540141,-1.0828951667453734,-0.33733233383160366,-0.6862453795002904,34,Coventry City,2001
-1.6181706420857,0.3919465601957623,1.4297127585145346,-1.4210909957106803,1.4143816548719503,-1.6042891359190719,-0.33733233383160366,-1.1625618194235925,26,Bradford City,2001
2.0423434367094657,-0.2850520437787367,-2.090506779701593,1.8060568899501181,-1.1959434159294546,1.7246108211130022,-0.33733233383160366,-1.7069234650502234,87,Arsenal,2002
1.6937230482527832,-0.6235513457659861,-1.5346826420885202,1.015734958767882,-1.6565890166591144,1.4839674507251415,-0.33733233383160366,-0.00579332246700172,80,Liverpool,2002
1.6937230482527832,-1.6390492517277346,-0.9788585044754475,2.3329381774049422,-0.5049750148349651,1.6845035927150256,-0.33733233383160366,0.1983422946429849,77,Manchester Utd,2002
