HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult
Leeds,Man United,A,1,3,A
Leicester,Blackburn,H,1,0,H
Liverpool,Charlton,H,2,0,H
Southampton,Fulham,D,1,1,D
West Ham,Ipswich,H,1,0,H
Blackburn,Southampton,H,2,0,H
Charlton,Arsenal,A,0,3,A
Derby,Middlesbrough,A,0,1,A
Everton,Bolton,H,1,0,H
Fulham,West Ham,A,0,1,A
Ipswich,Chelsea,D,0,0,D
Sunderland,Leicester,H,2,1,H
Tottenham,Leeds,H,2,0,H
Aston Villa,Newcastle,D,1,1,D
Arsenal,Tottenham,H,1,0,H
Bolton,Ipswich,H,4,0,H
Chelsea,Everton,H,2,0,H
Leicester,Man United,A,0,0,D
Middlesbrough,Aston Villa,H,1,0,H
Southampton,Derby,H,1,0,H
West Ham,Charlton,H,2,0,H
Newcastle,Fulham,D,1,0,H
Blackburn,Chelsea,D,0,0,D
Aston Villa,Leeds,A,0,1,A
Charlton,Southampton,D,1,0,H
Derby,Newcastle,A,0,0,D
Everton,Leicester,D,0,2,A
Sunderland,Liverpool,A,0,0,D
Tottenham,West Ham,D,0,0,D
Bolton,Tottenham,D,0,1,A
Chelsea,Man United,A,0,2,A
Leeds,Fulham,A,0,0,D
Leicester,Aston Villa,D,1,2,A
Liverpool,Derby,H,1,0,H
Middlesbrough,Blackburn,A,0,1,A
Newcastle,Charlton,H,1,0,H
Southampton,Everton,A,0,1,A
West Ham,Sunderland,H,1,0,H
Blackburn,Newcastle,D,1,0,H
Fulham,Bolton,H,1,0,H
Arsenal,West Ham,H,0,0,D
Ipswich,Middlesbrough,H,0,0,D
Aston Villa,Southampton,H,2,0,H
Charlton,Sunderland,D,1,2,A
Derby,Leeds,A,0,1,A
Fulham,Leicester,D,0,0,D
Ipswich,Man United,A,0,1,A
Middlesbrough,Chelsea,A,0,2,A
Newcastle,West Ham,H,1,1,D
Tottenham,Liverpool,H,1,0,H
Everton,Blackburn,A,0,1,A
Bolton,Arsenal,A,0,2,A
Liverpool,Blackburn,H,2,1,H
Man United,Arsenal,A,0,0,D
Arsenal,Everton,H,2,2,D
Blackburn,Fulham,H,0,0,D
Chelsea,Aston Villa,A,0,1,A
Leeds,Middlesbrough,H,0,0,D
Leicester,Tottenham,H,0,0,D
Liverpool,Ipswich,H,2,0,H
Man United,Charlton,D,0,0,D
Southampton,Newcastle,H,2,0,H
Sunderland,Derby,D,1,0,H
West Ham,Bolton,H,1,0,H
Blackburn,Sunderland,D,0,0,D
Charlton,Chelsea,A,2,1,H
