team,gf,ga,gd,points
Tottenham,55,51,4,69
Manchester Utd,64,43,21,64
Southampton,54,46,8,56
Stoke City,45,52,-7,50
Newcastle Utd,43,59,-16,49
Crystal Palace,33,48,-15,45
Swansea City,54,54,0,42
West Ham,40,51,-11,40
Sunderland,41,60,-19,38
Aston Villa,39,61,-22,38
Hull City,38,53,-15,37
West Brom,43,59,-16,36
Norwich City,28,62,-34,33
Fulham,40,85,-45,32
Cardiff City,32,74,-42,30
Chelsea,73,32,41,87
Manchester City,83,38,45,79
Arsenal,71,36,35,75
Manchester Utd,62,37,25,70
Tottenham,58,53,5,64
Liverpool,52,48,4,62
Southampton,54,33,21,60
Swansea City,46,49,-3,56
Stoke City,48,45,3,54
Crystal Palace,47,51,-4,48
Everton,48,50,-2,47
West Ham,44,47,-3,47
West Brom,38,51,-13,44
Leicester City,46,55,-9,41
Newcastle Utd,40,63,-23,39
Sunderland,31,53,-22,38
Aston Villa,31,57,-26,38
Hull City,33,51,-18,35
Burnley,28,53,-25,33
QPR,42,73,-31,30
Leicester City,68,36,32,81
Arsenal,65,36,29,71
Tottenham,69,35,34,70
Manchester City,71,41,30,66
Manchester Utd,49,35,14,66
Southampton,59,41,18,63
West Ham,65,51,14,62
Liverpool,63,50,13,60
Stoke City,41,55,-14,51
Chelsea,59,53,6,50
Everton,59,55,4,47
Swansea City,42,52,-10,47
Watford,40,50,-10,45
West Brom,34,48,-14,43
Crystal Palace,39,51,-12,42
Bournemouth,45,67,-22,42
Sunderland,48,62,-14,39
Newcastle Utd,44,65,-21,37
Norwich City,39,67,-28,34
Aston Villa,27,76,-49,17
Chelsea,85,33,52,93
Tottenham,86,26,60,86
Manchester City,80,39,41,78
Liverpool,78,42,36,76
Arsenal,77,44,33,75
Manchester Utd,54,29,25,69
Everton,62,44,18,61
Southampton,41,48,-7,46
Bournemouth,55,67,-12,46
West Brom,43,51,-8,45
West Ham,47,64,-17,45
Leicester City,48,63,-15,44
Stoke City,41,56,-15,44
Crystal Palace,50,63,-13,41
Swansea City,45,70,-25,41
Burnley,39,55,-16,40
Watford,40,68,-28,40
Hull City,37,80,-43,34
Middlesbrough,27,53,-26,28
Sunderland,29,69,-40,24
Manchester City,106,27,79,100
Manchester Utd,68,28,40,81
Tottenham,74,36,38,77
Liverpool,84,38,46,75
Chelsea,62,38,24,70
Arsenal,74,51,23,63
Burnley,36,39,-3,54
Everton,44,58,-14,49
Leicester City,56,60,-4,47
Newcastle Utd,39,47,-8,44
Crystal Palace,45,55,-10,44
Bournemouth,45,61,-16,44
West Ham,48,68,-20,42
Watford,44,64,-20,41
Brighton,34,54,-20,40
Huddersfield,28,58,-30,37
Southampton,37,56,-19,36
Swansea City,28,56,-28,33
Stoke City,35,68,-33,33
West Brom,31,56,-25,31
Manchester City,95,23,72,98
Liverpool,89,22,67,97
Chelsea,63,39,24,72
Tottenham,67,39,28,71
Arsenal,73,51,22,70
Manchester Utd,65,54,11,66
Wolves,47,46,1,57
Everton,54,46,8,54
Leicester City,51,48,3,52
West Ham,52,55,-3,52
Watford,52,59,-7,50
Crystal Palace,51,53,-2,49
Newcastle Utd,42,48,-6,45
Bournemouth,56,70,-14,45
Burnley,45,68,-23,40
Southampton,45,65,-20,39
Brighton,35,60,-25,36
Cardiff City,34,69,-35,34
Fulham,34,81,-47,26
Huddersfield,22,76,-54,16
Liverpool,85,33,52,99
Manchester City,102,35,67,81
Manchester Utd,66,36,30,66
Chelsea,69,54,15,66
Leicester City,67,41,26,62
Tottenham,61,47,14,59
Wolves,51,40,11,59
Arsenal,56,48,8,56
Sheffield Utd,39,39,0,54
Burnley,43,50,-7,54
Southampton,51,60,-9,52
Everton,44,56,-12,49
Newcastle Utd,38,58,-20,44
Crystal Palace,31,50,-19,43
Brighton,39,54,-15,41
West Ham,49,62,-13,39
Aston Villa,41,67,-26,35
Bournemouth,40,65,-25,34
Watford,36,64,-28,34
Norwich City,26,75,-49,21
Manchester City,83,32,51,86
Manchester Utd,73,44,29,74
Liverpool,68,42,26,69
Chelsea,58,36,22,67
Leicester City,68,50,18,66
West Ham,62,47,15,65
Tottenham,68,45,23,62
Arsenal,55,39,16,61
Leeds United,62,54,8,59
Everton,47,48,-1,59
Aston Villa,55,46,9,55
Newcastle Utd,46,62,-16,45
Wolves,36,52,-16,45
Crystal Palace,41,66,-25,44
Southampton,47,68,-21,43
Brighton,40,46,-6,41
Burnley,33,55,-22,39
Fulham,27,53,-26,28
West Brom,35,76,-41,26
Sheffield Utd,20,63,-43,23
Manchester City,99,26,73,93
Liverpool,94,26,68,92
Chelsea,76,33,43,74
Tottenham,69,40,29,71
Arsenal,61,48,13,69
Manchester Utd,57,57,0,58
West Ham,60,51,9,56
Leicester City,62,59,3,52
Brighton,42,44,-2,51
Wolves,38,43,-5,51
Newcastle Utd,44,62,-18,49
Crystal Palace,50,46,4,48
Brentford,48,56,-8,46
Aston Villa,52,54,-2,45
Southampton,43,67,-24,40
Everton,43,66,-23,39
Leeds United,42,79,-37,38
Burnley,34,53,-19,35
Watford,34,77,-43,23
Norwich City,23,84,-61,22
Manchester City,94,33,61,89
Arsenal,88,43,45,84
Manchester Utd,58,43,15,75
Newcastle Utd,68,33,35,71
Liverpool,75,47,28,67
Brighton,72,53,19,62
Aston Villa,51,46,5,61
Tottenham,70,63,7,60
Brentford,58,46,12,59
Fulham,55,53,2,52
Crystal Palace,40,49,-9,45
Chelsea,38,47,-9,44
Wolves,31,58,-27,41
West Ham,42,55,-13,40
Bournemouth,37,71,-34,39
Nottingham Forest,38,68,-30,38
Everton,34,57,-23,36
Leicester City,51,68,-17,34
Leeds United,48,78,-30,31
Southampton,36,73,-37,25
Manchester City,96,34,62,91
Arsenal,91,29,62,89
Liverpool,86,41,45,82
Aston Villa,76,61,15,68
Tottenham,74,61,13,66
Chelsea,77,63,14,63
Newcastle Utd,85,62,23,60
Manchester Utd,57,58,-1,60
West Ham,60,74,-14,52
Crystal Palace,57,58,-1,49
Brighton,55,62,-7,48
Bournemouth,54,67,-13,48
Fulham,55,61,-6,47
Wolves,50,65,-15,46
Everton,40,51,-11,40
Brentford,56,65,-9,39
Nottingham Forest,49,67,-18,32
Luton Town,52,85,-33,26
Burnley,41,78,-37,24
Sheffield Utd,35,104,-69,16
