Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
12,24,18,4,0,2,2,0,2,22,7,12,6,8,2,13,6,1,2,0,0
12,26,34,1,0,2,0,0,1,17,6,10,1,12,3,11,15,2,3,0,0
12,29,33,1,0,2,0,0,1,18,5,8,4,10,3,9,16,3,2,0,0
12,36,38,0,1,0,0,1,0,13,10,7,6,8,5,11,15,0,3,0,0
12,40,37,0,0,1,0,0,1,21,4,14,2,11,4,8,11,2,5,0,0
12,42,30,2,1,2,1,1,1,12,10,8,4,6,5,14,9,1,1,0,0
12,43,17,1,2,0,1,0,2,6,15,5,8,3,5,12,8,1,0,1,1
12,44,0,0,1,0,0,0,1,13,10,5,8,4,4,14,8,1,1,0,0
12,13,1,8,0,2,3,0,2,24,7,18,4,8,4,6,11,0,0,0,0
12,39,27,1,1,1,1,1,1,14,19,10,16,3,6,11,16,2,4,0,0
12,1,40,0,4,0,0,0,1,4,20,1,16,2,16,11,7,1,0,0,0
12,17,44,2,1,2,0,0,1,17,10,9,6,11,2,10,11,1,3,0,0
12,18,36,1,1,1,1,0,2,10,7,2,3,3,5,14,12,3,0,0,0
12,27,29,4,3,2,1,2,0,16,16,10,11,2,2,12,16,3,3,0,0
12,30,13,0,1,0,0,1,0,8,20,4,11,5,7,7,7,1,1,0,0
12,33,42,1,2,0,0,1,0,18,12,8,6,14,9,9,10,1,0,0,0
12,34,39,0,0,1,0,0,1,3,10,2,4,6,4,14,17,2,1,0,0
12,37,24,3,1,2,2,1,2,7,12,6,6,6,8,11,5,3,1,0,0
12,38,26,1,0,2,0,0,1,12,19,6,12,3,7,14,16,1,3,0,0
12,0,29,7,3,2,1,1,1,16,10,12,8,5,6,8,10,0,1,0,0
12,1,44,0,3,0,0,1,0,11,9,4,6,4,3,16,8,3,2,0,0
12,18,39,1,2,0,0,1,0,22,10,13,9,9,8,14,12,2,1,0,0
12,27,42,2,0,2,1,0,2,17,13,14,9,9,6,9,7,1,0,0,0
12,30,26,3,4,0,1,2,0,13,13,8,9,4,9,8,10,3,1,0,1
12,34,43,1,0,2,1,0,2,3,11,2,3,2,2,17,10,3,4,0,0
12,37,36,3,3,1,1,3,0,10,8,8,7,7,4,6,9,1,2,1,0
12,38,40,1,2,0,1,0,2,9,18,6,14,3,8,9,15,1,3,0,0
12,17,13,1,2,0,1,1,1,12,15,6,10,7,7,14,12,2,3,0,0
12,33,24,0,3,0,0,3,0,14,16,7,11,1,9,10,8,2,1,0,0
12,26,37,3,0,2,1,0,2,17,4,9,3,7,2,6,9,2,2,0,0
12,36,0,1,1,1,1,1,1,9,6,6,4,3,3,9,6,2,0,0,0
12,39,1,2,2,1,1,1,1,23,8,13,6,3,2,7,15,0,4,0,0
12,40,34,3,1,2,1,1,1,30,7,20,4,12,3,9,9,0,0,0,0
12,42,18,1,2,0,0,1,0,17,10,10,5,10,5,14,6,0,0,0,0
12,43,30,2,1,2,2,0,2,14,9,8,3,11,3,14,7,0,0,0,0
12,44,27,0,4,0,0,2,0,7,14,3,9,1,6,13,5,1,1,0,0
12,13,33,0,1,0,0,0,1,23,8,11,5,14,2,12,8,1,1,0,0
12,24,38,3,0,2,2,0,2,27,6,16,5,9,5,8,5,0,1,0,0
12,29,17,1,2,0,1,1,1,14,7,11,6,4,6,21,7,3,2,0,0
12,1,36,0,1,0,0,1,0,16,11,10,4,9,5,9,6,1,1,0,0
12,17,39,0,0,1,0,0,1,16,4,8,2,7,1,13,9,1,4,0,0
12,18,44,1,1,1,1,0,2,14,15,5,6,6,8,8,15,0,1,0,0
12,30,29,0,0,1,0,0,1,12,9,3,4,5,4,5,6,0,1,0,0
12,33,40,0,0,1,0,0,1,4,16,1,8,2,6,10,7,1,1,0,0
12,34,42,3,2,2,0,1,0,7,11,7,6,8,4,6,13,1,1,0,0
12,37,13,0,4,0,0,1,0,11,11,5,9,6,7,13,9,1,0,0,0
12,38,43,3,0,2,1,0,2,18,9,14,4,4,6,10,13,0,3,0,0
12,0,26,0,2,0,0,2,0,9,16,4,9,2,7,11,18,2,4,1,1
12,27,24,2,1,2,1,0,2,15,12,10,5,3,1,14,16,1,4,0,0
12,13,36,2,2,1,2,0,2,19,7,10,3,4,3,10,11,1,0,0,0
12,24,30,5,0,2,2,0,2,17,5,10,3,10,4,10,8,1,1,0,0
12,26,18,2,0,2,1,0,2,20,3,11,0,1,2,12,6,1,2,0,0
12,29,34,1,2,0,1,0,2,15,6,10,2,6,2,9,10,2,3,0,0
12,39,37,3,1,2,0,0,1,12,7,6,2,7,6,11,9,0,0,0,0
12,42,1,2,2,1,0,2,0,25,11,9,7,8,8,8,10,3,3,0,0
12,43,33,1,1,1,0,1,0,22,9,13,6,12,2,6,11,1,0,0,0
12,44,38,2,3,0,1,3,0,20,10,11,5,9,0,10,16,3,2,0,0
